,Tweet,Sentiment
75, Every ATM should be operated according to our PM but the axis bank ATM in is offline from week,displeasure
76, how can indians based in UK and are axis bank NRO account holders deposit and notes into their,miscellaneous
77, sorry for the Please allow us to request you to share your,miscellaneous
78, Tomorrow at what time your ATMs will start just declared does that mean since,miscellaneous
79, Even after I have raised a request I pay my bill last month because I am outside India,displeasure
80, kindly implement issue of tokens to the and make two separate one for exchange withdrawal cum,miscellaneous
81, ur ATM doesnt wrk at hv no r returning after long wait in Q Chaos,displeasure
82, To know more about the offer you can visit,miscellaneous
83, un acceptable conditions of all the ATM counters in Karimganj town assam,displeasure
84, This is complaint no,displeasure
85, in Vadodara today but the situation remains same ATMS NOT WORKING,displeasure
86, were sorry about the bad experience you had at our Thanks for bringing this to,miscellaneous
87, Will you,miscellaneous
88, Unfair service is given to No proper maintenance for cash People are allowed to skip the,displeasure
89, problem still not resolved,displeasure
90, Debit cards of axis is not working in some departmental,displeasure
91, tell me about have been trying to dnt giv a flying,displeasure
92, I had called ur phone banking and he said that all are I just visited a All shutters down,displeasure
93, sorry for the inconvenience due to heavy traffic on withdrawals you may,miscellaneous
94, i never request to destroyed my cheque book now i feel cheated and will close my account nd file a cheating case,displeasure
95, and all Axis Bank ATMs are out of service now before,miscellaneous
96, please look in to this on urgent basis hope someone is taking it seriously cow dunk and grasshoppers are all,displeasure
97, please share your concerns via DM for us to assist,miscellaneous
98, please write to us at for us to assist,miscellaneous
99, I have given info on non working ATM any information,miscellaneous
100, sorry for any inconvenience Please write to us at for us to assist,miscellaneous
101, Debit Card not reached yet Applied on facing,displeasure
102, sorry you had this experience and we want to make this We have made a note of,miscellaneous
103, can someone plz look into this urgently,miscellaneous
104, sorry for the Please share the screenshot of the error you are receiving at,miscellaneous
105, sorry for the Please write to us at for us to assist,miscellaneous
106, RT I cant activate Axis Mobile NOT tried diff networks n phones,miscellaneous
107, Today while making transaction i receive the OTP and amount was deducted twice and neither sms alert till,displeasure
108, were sorry about the bad experience you had at our Thanks for bringing this to,miscellaneous
109, done Last complaints fetched no I have much hope this time either,displeasure
110, RT no ATM started at Kolkata and and nearby Increasing Appreciate any,displeasure
111, pls ask bank to accept deposits axis bank dp block Pitampura,miscellaneous
112, Axis bank Nawada has only one counter for money deposit n fr Should open Atleast two more,displeasure
113, currently we have discontinued the youth You can,miscellaneous
114, we are sorry that you have faced the inconvenience due to Please note that,miscellaneous
115, Contact me,miscellaneous
116, please share the exact location of the ATM,miscellaneous
117, please share your concerns with us and our executive will get back to,miscellaneous
118, they opened my acct witht depositing any money nor any assistance fr Kept me waiting fr entire day,displeasure
119, Thank you,miscellaneous
120, we apologise for any inconvenience caused to Please write to,miscellaneous
121, Well I expected any answet They alwys give the same predefined ans like mobile,displeasure
122, Message from was of the greatest confidence and they were among the worst to respond for the situa,displeasure
123, sorry you had this experience and we want to make this Well take this,miscellaneous
124, sorry for the Please share the reference number which you may have received,miscellaneous
125, Being an An axis Bank customer should I accept some Customer support till now,displeasure
126, you should have to give priority to Axis Bank customers who have accounts in other bank customers are in,displeasure
127, please share the details at,miscellaneous
128, please elaborate your concerns at for us to help,miscellaneous
129, is this compulsory to give Xerox copy of id while applying for exchange and,miscellaneous
130, please refer the following link pertaining to your,miscellaneous
131, Unable to use the Debit when used message is help,displeasure
132, Making me run pillar to post for simple address No fun being a,displeasure
133, as usual ur atm at kalyan adharwadi junction is not functioning,displeasure
134, My company really did a great mistake opting your Axis Bank Meal Card instead of Pathetic service by you,displeasure
135, I cnt activate Axis Mobile NOT tried differnt netwrks n phnes with registrd,displeasure
136, WHY CANT I SWIPE MY CARDS it says call help desk on the,displeasure
137, then what is the use of you I am a employee of the they dont allow me to go to the bank and withdraw,displeasure
138, what I am Your guy tell me about your internal I would have had I known,miscellaneous
139, at they have a senior citizens fast They are even filling their,miscellaneous
140, any problem with Getting logged out at welcome login with app,displeasure
141, thank,compliment
142, your website to register for remit is the worst and unfriendly website ever this is man use better IT,displeasure
143, could you please elaborate your concerns at for us to assist,miscellaneous
144, Why are the ATMs in Pune not working,miscellaneous
145, ATMs are still,compliment
146, were sorry about the bad experience you had at our Thanks for,miscellaneous
147, RT your Defence Delhi branch is helping end to get their,displeasure
148, Facing cnnectivity issues in Axis Mobile Android apps working app is very Using Jio Pl,displeasure
149, we are looking into your concern vide service request reference Please allow us,miscellaneous
150, Daunting task performed by exceptional team they were polite in face of a h,compliment
151, I No cash in the one opposite to my,displeasure
152, get the detail from local Ludhiana ops manager Deepak Joshi mall road Ludhiana or Nandini,miscellaneous
153, hi received any reference number after submitting the form,miscellaneous
154, Your Mahamayatala accepting old notes smoothly but payment side was very very enough rupee,miscellaneous
155, sorry for the inconvenience caused and we want,displeasure
156, sorry you had this experience and we want to make this Please share your concerns,displeasure
157, why my account balance showing in,displeasure
158, were sorry about the experience you had at our Thanks,displeasure
159, what if I had an And my only money is accessible via debit which is now not,displeasure
160, RT we are sorry for the bad experience and your feedback in this regard has been,miscellaneous
161, ive sent a mail also,displeasure
162, ATM on Prag Narain Road Lucknow was hardly of the time shut into the issue and,displeasure
163, due to heavy traffic on withdrawals you may find some of our ATMs out of,displeasure
164, even i have given my contact details of mine but this is really Would like to close my,displeasure
165, sorry for the Please DM us the complete branch details for us to look into,miscellaneous
166, to axis bank the real customer service bank,compliment
167, axis bank saying v shl nt acpt,displeasure
168, recently i open an salary need internet banking what is procedure to do help,miscellaneous
169, Internet banking transactions have been failing since Before that I did not have an,miscellaneous
170, since we have limitation of only exchange now the procedure,miscellaneous
171, please share your application reference number at for us to get this,miscellaneous
172, Till what time your banks are supposed to make transections exchange of currency notes today,miscellaneous
173, Kindly advice that when cash would be available on axis bank in Faridabad,miscellaneous
174, pl intervene too because axis bank never reply any query,displeasure
175, RT what nonsense is this u text abt d bank being open till at PM Wow,displeasure
176, second sms from axis going of my mob being registered for DND,displeasure
177, RT is your Def Delhi branch is discharging public function or helping priority customers,miscellaneous
178, we have taken the feedback and will share it with the respective Thanks for writing,miscellaneous
179, I have written to your managing Check her Shikha sharma,miscellaneous
180, Game of Outside and We the beggars with money in,displeasure
181, Thank u for ur response right This was a problem faced yesterday n Pics for your refer,compliment
182, i wish that they get functional from without any,miscellaneous
183, Branch manger V K Mishra abusing people who came to take cash and told ppl to close account BASTI UP,displeasure
184, You never talk about excess SMS deductions but keep sending one bit too many unwanted regards,miscellaneous
185, is Twitter the only way to get the attention of customer My complaint is unresolved for past months,displeasure
186, Branch railway road gurgaon hinder people in depositing,displeasure
187, Why Axis Bank Debit Card is not working with the Payment of Amazon,displeasure
188, will it function tomorrow morning or still no I can name other ATMs,displeasure
189, i went to their atms yesterday and all were much for their support,displeasure
190, the messages are to keep all our customers informed regarding the current,miscellaneous
191, NetBanking not working Page just does not move to the next Call Center says Server Issue Pls Fix this ASAP,displeasure
192, Please note that our will be closed on Nov For more details please visit,miscellaneous
193, I have a saving account in axis bank can I deposit into my account,miscellaneous
194, thank you muchly,compliment
195, Everytime new service request number What about old,displeasure
196, sorry for the look into it on,miscellaneous
197, its more than days that I filled application for savings till nw no one contacted mobile number,displeasure
198, Your ATMs in Manisha Nagar Kalwa are out of Service,displeasure
199, this happens when u call for No only that stupid Check the screen shot be,displeasure
200, I have salary Acc wid axis n wanna open ppf Acc wid axis,miscellaneous
201, Lol same Fed up of texts I have got in last BLOODY JUST,displeasure
202, can details Branch address Cc what the hell is we ppl are,displeasure
203, sorry for the Please help us with screenshot of,miscellaneous
204, What time do the axis bank take to clear the local station cheque,miscellaneous
205, Details have already been given in DM that you requested earlier,miscellaneous
206, sorry for the Please share the exact location,miscellaneous
207, your people in local branch have returned my cheque for reasons best known to they had time to find but,displeasure
208, why will not separate line for account holder to deposit and this is not think about,displeasure
209, we would like to inform you that old notes will be,miscellaneous
210, why is it so difficult to lodge a The netsecure pw takes too long to There is no addressing d issue,displeasure
211, please share the application ID at for us to assist,miscellaneous
212, slowest service in cash deposit one counter for people,displeasure
213, nobody is bothered to refill the the machine is empty since the time it got please,displeasure
214, can we deposit cash without card,miscellaneous
215, RT thanks for bringing this to our Well take this up with the branch,miscellaneous
216, Axis sms says all ATM Patheticaly Narimn Point Brnch ATM stil closed since Gross service stndrd,displeasure
217, And multiple visits n form fillings at the branches,miscellaneous
218, I know you appreciate my but stop testing,displeasure
219, for information regarding please access the following,miscellaneous
220, as per pic we have trouble in depositing or withdrawing cash Tech Village BLR,displeasure
221, Shup down this centre for the day It looks awkward that centre is open but not oper,displeasure
222, Thanks for your Do we require to carry the proof of id for making remittance in already in records with Bank,compliment
223, thank u Axis Bank for ur Feeling,compliment
224, please share the exact location of,miscellaneous
225, Axis Bank ATM at Regency Prahladnagar is not,displeasure
226, send a mail from registered please check and get back,miscellaneous
227, Request all banks to stuff note in ATMs to dispense Dispensing note is not wise planning,displeasure
228, Is it necessary to submit the AADHAR CARD for remitting in regular current account,miscellaneous
229, Still u r looking for service request number Already one month gone,miscellaneous
230, Ref Are u going to resolve my Its been more than a,displeasure
231, the messages are to keep all our customers informed regarding the current,miscellaneous
232, if possible please unblock my wallet as fast as its been blocked since December,displeasure
233, please write to us at along with complete branch details for us to assist,miscellaneous
234, the cash deposit machines will be functional from November In case of,miscellaneous
235, Jaitley ji can u take action in this type of vvip,displeasure
236, thank you for sharing the location Well take this up with the concern,miscellaneous
237, y my old debit card has become inoperational when i am yet to receive the PIN for the new debit card that you have sent,displeasure
238, are you working,miscellaneous
239, sorry for the Please share your concerns with us at for us,miscellaneous
240, sorry for the Please share the exact,miscellaneous
241, were sorry about the bad experience you had at our Thanks for bringing this to,miscellaneous
242, Just walked into thane kolbad branch and got my money deposited very Keep it up guys Kudos,compliment
243, Can you investigate on this and take preventive action if found true,miscellaneous
244, I will file complaint in consumer court for harassment case,displeasure
245, Thanks for quick Any limits in,compliment
246, No AXIS in Mumbra is able to dispense,displeasure
247, none of your ATMs in this area are operational Highly look into,miscellaneous
248, RT Its common sense to provide option at first place whereas Hindi n Marathi options r of no,displeasure
249, Your Services are Very I wish to escalate my issues to someone senior who can understand help resolve,displeasure
250, Axis bank CDM machines in Karnataka has the same but,miscellaneous
251, Why you deduct and how many times deduct my with costumers,displeasure
252, axis bank Internet banking not,miscellaneous
253, when would u contact,miscellaneous
254, I fully agree with the point and appreciate all my brothers and sisters who work in any,compliment
255, RT thank you for writing We will connect with you at the,miscellaneous
256, Do I need a copy of PAN Card for Party Cash,miscellaneous
257, DM stands for District Magistrate or AXIS divisional Kindly clear,miscellaneous
258, we are delighted to know of your interest in banking with For information on savings,miscellaneous
259, can you please let me know the standard sizes of your lockers small medium,miscellaneous
260, y send sms saying ur ATMs r open wen painfully went to different ATMs HYDERABAD,displeasure
261, when ur branches are going to open the Branches have new cash but they put cash in,displeasure
262, sorry for the inconvenience Please share,miscellaneous
263, were sorry about the bad experience you had at our,miscellaneous
264, via DM for us to connect with,miscellaneous
265, no service to the priority The managers answer at all,displeasure
266, thanks for no reply and no action on the operation head we have a total accounts in my family alone we will close all,displeasure
267, MasterCard not working since Why are card transactions,displeasure
268, Documents submitted on Does it take a month to decision a credit,displeasure
269, were sorry about the bad experience you had at our Thanks for bringing this to our,miscellaneous
270, respond,miscellaneous
271, please visit your nearest Axis Bank branch along with KYC documents for further,miscellaneous
272, please visit and share the,miscellaneous
273, thank have sent a mail on the,miscellaneous
274, I hv raised a query on d link provided by,miscellaneous
275, Can you please tell me ONE single ATM in Gurgaon which is,displeasure
276, oh I understand but many of the messages are repetitive and regarding Atms most of which have run out of,miscellaneous
277, for car loan please visit the following,miscellaneous
278, Bunch of inefficient employees are harassing customers and no action has been taken till,displeasure
279, the link is not Trying to send through that form but no success message,displeasure
280, Your bank should start the cash deposit Despite sending a ton of SMS were non functional,displeasure
281, sorry you had this Please share your account details with us,miscellaneous
282, is the branch at Bangalore open to make cash deposits today Till wat time are they open,miscellaneous
283, sorry for the unpleasant experience Thanks,miscellaneous
284, Again same copy pasted the standard matter,miscellaneous
285, alreday sent many reminder Can you help,miscellaneous
286, complete branch details via DM well definitely take this up with the branch,miscellaneous
287, to generate credit card please visit,miscellaneous
288, sent Though i am not I hope my information Will not be used for telemarketing indulging in,miscellaneous
289, a failed internet banking transaction gets reversed automatically with in working In,compliment
290, is your Def Delhi branch is discharging public function or helping priority customers break exchange,miscellaneous
291, we have made a note of your feedback and,miscellaneous
292, thank you,miscellaneous
293, dhamankar naka college road atm started working after few transactions key pad stopped,displeasure
294, Your net banking is not Says Server,displeasure
295, please visit and share the,miscellaneous
296, and what about,miscellaneous
297, none of the ATMs are working till What a great service you are,displeasure
298, no busy since morning,compliment
299, Only buying it because a frequent flier on Not because I love ruining name,miscellaneous
300, Any,miscellaneous
301, why are home loan documents sent to old address instead of new address,miscellaneous
302, i got my new ATM card but it is not activaed yet can you please activate it,miscellaneous
303, Due to heavy traffic on withdrawals you may find some of our out of In such cases,miscellaneous
304,,miscellaneous
305, the ATM is having no but technical snag,displeasure
306, please check response from,miscellaneous
307, only reference number I have received so,miscellaneous
308, IS CC team are available,miscellaneous
309, till now ur atm is shuttered dispensing the vehicle came and collected old at,displeasure
310, Any,miscellaneous
311, please check,miscellaneous
312, what is going Seeing multiple reports of debit cards not I have NO access to money otherwise VERY,displeasure
313, All ATMs in VimanNagar Pune Maharshtra Please Resolve it ASAP sir,displeasure
314, ATM at several place in Gujarat not opened till debit card payment not working,displeasure
315, A small which is equipped wid min askn me nt print receipt to environment,displeasure
316, the messages are to keep all our customers informed regarding the current,miscellaneous
317, does the cash deposit machines accept the newly introduced rupee I would be willing Pls,miscellaneous
318, were sorry about the bad experience you had at our Thanks for bringing this to our,miscellaneous
319, All ATMs in VimanNagar Pune Maharshtra Please Resolve it ASAP sir,displeasure
320, ATM at several place in Gujarat not opened till debit card payment not working,displeasure
321, A small which is equipped wid min askn me nt print receipt to environment,displeasure
322, the messages are to keep all our customers informed regarding the current,miscellaneous
323, does the cash deposit machines accept the newly introduced rupee I would be willing Pls,miscellaneous
324, were sorry about the bad experience you had at our Thanks for bringing this to our,miscellaneous
325, written n messaged,miscellaneous
326, none of ur ATM has cash in Ghaziabad,displeasure
327, Dear i appreciate ur support n help at ur ppl jus create rumours but awesome experience with u dis,compliment
328, you can visit your nearest Axis Bank branch for cash withdrawal and,miscellaneous
329, pls check earlier Your link Axis is a fail,miscellaneous
330, Very very slow service and Faizabad tanking lot of time to,displeasure
331, why r u making Its not user I m unable to access No complaints can b lodged on I hate,displeasure
332, due to heavy traffic on withdrawals you may find some of our,miscellaneous
333, axis rewards active one of the pathetic Really,displeasure
334, have generic customer care Long to process to talk with,displeasure
335, we are keen on understanding your Please share them via DM for us to assist,miscellaneous
336, DMed the digit number on Now waiting for the Magic,displeasure
337, bank is getting control its,displeasure
338, trying to submit form on mobile and repeatedly not going through verification code keeps all fields filled,displeasure
339, So your branch people are sending us away refusing deposits and asking from where did we withdraw and,displeasure
340, may I know when is the technical error going to get solved with travel I need to withdraw money asap,displeasure
341, u send me sms saying all your are operational while the one just in front of my building is still closed,displeasure
342, LaxmiBazar and you are sending smss that you are with your,displeasure
343, jaipur branch good arrangement for exchange of chairs available for customers,compliment
344, sorry you had to see our ATM this We are looking into the concerns you have,miscellaneous
345, U have only branch in Basti City Kotwali This incident took place evng Tmro i will lodge a,displeasure
346, Just junior most staff working in Teller booth counters all other doing,displeasure
347, sorry for the Please share the complaint reference number which you may have,miscellaneous
348, Great service done by all the employees Hats off to all,compliment
349, We have checked and it is working fine at the Please clear your browser cache and try,miscellaneous
350, i yet received my chequebook that i requested on Nov Please provide an POD provided is,miscellaneous
351, hope this this will give u idea what is problem n Of days struggling to make payment,miscellaneous
352, cant deposit cash as your cash deposit machine was closed All use my own,displeasure
353, All axis atm machines are out of Please,displeasure
354, Pathetic service at Kndvli In line Only person given Pls take,displeasure
355, Can any of my family members deposit old currencies in my account on my behalf,miscellaneous
356, a pity that in the year you guys still have a responsive web design for,displeasure
357, no cash in atm since two not even replinshed Vikhroli West,displeasure
358, we are sorry that you had to face the we will surely,miscellaneous
359, location,miscellaneous
360, please share the details at along with the account number for us to assist,miscellaneous
361, we are keen on discussing your,miscellaneous
362, sundar nagar branch Its just new branch why here all staff was free cos new branch have less customers,miscellaneous
363, only snack soft drink was to be chosen call it lounge access,miscellaneous
364, Why spam me when not ur Making most out of,displeasure
365, LaxmiBazar People are suffering as you dont have made proper arrangements,displeasure
366, you are not filling the with cash,displeasure
367, you can check all the variants of credit cards offered by us at,miscellaneous
368, Please stop We get the Once is,displeasure
369, sorry for the Please share your concerns with us at for us to,miscellaneous
370, Why no ATM is running in morning we waited for,displeasure
371, your contact details via DM for us to connect with,miscellaneous
372, we are sorry that you have faced the inconvenience due to Please note that,miscellaneous
373, same here unable to do any transactions,displeasure
374, LaxmiBazar your staff even are coming to work after and starting after,miscellaneous
375, whts the point of opening an accnt if this is gonna Cash I wld hve gone to some other,displeasure
376, please share mode of communication Mobile ID on which you received,miscellaneous
377, DMed you the,miscellaneous
378, thanks for bringing this to our Please share the branch details for us to look into,miscellaneous
379, due to heavy traffic on withdrawals you may find some of our ATMs out of,miscellaneous
380, but firstly Axis have to support axis then you can handle the exchange,miscellaneous
381, No cash in branch even are life is ur attention,displeasure
382, Hey staff is not verifying documents during exchange of currency,displeasure
383, please confirm the branch which you visited along with your contact number for us to look into,miscellaneous
384, I have the call recording with which I am going to upload now,miscellaneous
385, RT RNA corporate Bandra Mumbai The way you people are handling crowd is,miscellaneous
386, Both ATM are not come in Please help and start atleast,displeasure
387, its perfectly understandable that youre very upset about whats,miscellaneous
388, worst thing is that I have anything to do with,miscellaneous
389, everyone at your org has standard There is a difference between answer and resolution,displeasure
390, Dear I understand your urge to support your customer by sending But I am So consider removing my,displeasure
391, your are out of Please refill,miscellaneous
392, These are really trying times for If then who Branches closed by,displeasure
393, the messages are to keep all our customers informed regarding the,miscellaneous
394, it got done after and Half Never faced such things with any other U sud improve ur inter banking services,displeasure
395, I tried bt of no help,displeasure
396, Well a long queue for Cash Deposit Already half an hour wait,displeasure
397, urgent requirement standing in long Out of Axis Powai Mumbai,displeasure
398, I just want to know about the way of The linking way I just did is sufficient for linking or,miscellaneous
399, please share the contact number and screen shot of the SMS,miscellaneous
400, were sorry about the bad experience you had at our Thanks for bringing this to,miscellaneous
401, again having trouble logging in your I can access every freakiN website but only axis,displeasure
402, your are out of Please refill,miscellaneous
403, These are really trying times for If then who Branches closed by,displeasure
404, the messages are to keep all our customers informed regarding the,miscellaneous
405, it got done after and Half Never faced such things with any other U sud improve ur inter banking services,displeasure
406, I tried bt of no help,displeasure
407, Well a long queue for Cash Deposit Already half an hour wait,displeasure
408, urgent requirement standing in long Out of Axis Powai Mumbai,displeasure
409, I just want to know about the way of The linking way I just did is sufficient for linking or,miscellaneous
410, please share the contact number and screen shot of the SMS,miscellaneous
411, were sorry about the bad experience you had at our Thanks for bringing this to,miscellaneous
412, again having trouble logging in your I can access every freakiN website but only axis,displeasure
413, Nw u did the same thing with my DebitCard any w nw u,displeasure
414, But please implement this as early as possible,displeasure
415, were sorry about the bad experience you had at our Thanks for bringing this to,displeasure
416, not your customer,miscellaneous
417, all other banks are serving there customers except shame this is the time you improve,displeasure
418, sorry for the Please share the exact location of the ATM for us to look,miscellaneous
419, please write to us at from your registered email ID,miscellaneous
420, IS THERE NOTES AVAILABLE ALL AXIS ATM NO MORE OLD NOTE,miscellaneous
421, we wish to inform you that as a service the bank would be waiving off cash,miscellaneous
422, the location is malvani block near the police,miscellaneous
423, please read carefully,miscellaneous
424, Kindly check if it has been submitted or I have done but I dont know if it has been submitted or,miscellaneous
425, location Axis Bank ATM,miscellaneous
426, I cant activate Axis Mobile NOT tried from diff networks n phones with regiserd no,miscellaneous
427, Dear there AXIS BANK HOME HOME ENDING HOME LOAN SUPER SAVER HOME but not PMAY,miscellaneous
428, Again same standard reply without resolution,displeasure
429, the bank is closed you can get the currency notes,miscellaneous
430, no where in circular it is Please let us know if,miscellaneous
431, been submitted times in last one,miscellaneous
432, Have applied Bank Account opening in Ghatkopar East Branch since Feb still incomplete,displeasure
433, please provide the transaction details at for us to look into,miscellaneous
434, Okay m waiting,miscellaneous
435, repeat customer on next day,miscellaneous
436, we have made note of the number shared by Axis Bank or its employees,miscellaneous
437, i have visited the bitly link provided above submitted the details,miscellaneous
438, due to heavy traffic on withdrawals you may find some of our out of,displeasure
439, how do I cancel or edit my scheduled,miscellaneous
440, for us to connect with,miscellaneous
441, Thats Did you call,miscellaneous
442, standing in the queue since last moved more than ppl,displeasure
443, i had a salary account earlier with your Bt when i have to migrate u ppl have started deducted charges,miscellaneous
444, Why you guys have adequate cash in the Or Cash Van,displeasure
445, our website is working Please clear your browser cache and try accessing it,miscellaneous
446, we apologise for any inconvenience caused to Please write to us at,miscellaneous
447, What is happening,miscellaneous
448, cust care is helpless I am not getting help after sending mail with screen Very bad for present n banking,displeasure
449, Thank you Have to the,displeasure
450, please share the screenshot of error at for us to look into,miscellaneous
451, service of your lasudia mori branch worst i ever,displeasure
452, He cn u send such misleading message ur ATM nt Staff say a fake message,displeasure
453, ATM withdrawal is But please withdraw the charges after Free,miscellaneous
454, thank,compliment
455, Attention,displeasure
456, please check mails from ur bank had debited almost by cheating response from,displeasure
457, please note that our will be functional from Nov Sorry for the,compliment
458, I,miscellaneous
459, bank hv their ATM up running helpng ppl bt Axis HDFC shutter,miscellaneous
460, please highlight the issue you are facing at for us to assist,miscellaneous
461, loved the support of especially he serves the customers very,compliment
462, we are sorry that you have faced the inconvenience due to Please note that,miscellaneous
463, I already closed the account with you because of your extra charges,displeasure
464, We have a space for ATM in our Food Court located around corporate any openings kindly revert,miscellaneous
465, RT I,miscellaneous
466, job less person and I want settle this amount k,miscellaneous
467, I have cleared my of account balance but still balance is showing as pending in cibil please solve,displeasure
468, I am having NRE account with how can I exchange notes I am in Kindly advise,miscellaneous
469, App interface is improve its Also when I try to log out this just Please fix the,compliment
470, sorry for the inconvenience caused and we want to make this Please share the exact,miscellaneous
471, I cnt activate Axis Mobile NOT tried from diff netwrks n phnes with registered,displeasure
472, I hv recd msg frm axis regrdng saving voucher frm logged n selcted offers bt mail fr it nt recd help,miscellaneous
473, horrible in a foreign land trying to make a bank transfer and I get the secure code on my registered number,displeasure
474, I need someone to respond back,miscellaneous
475, And thanks,compliment
476, happy to hear We will convey your appreciation to Indu Have a great,compliment
477, Unable to reach your customer Can someone please call Its urgent,miscellaneous
478, were sorry about the bad experience you had at our We always strive to,miscellaneous
479, Thats the I didnt get any reference And the helpline is refusing to give,displeasure
480, can you give us list which ATM are working in Cursing the day I opened the account with AXIs,displeasure
481, our Twitter Banking facility is working You can refer the,miscellaneous
482, got the card delivered Thanks for the,compliment
483, Most of your even Then why send smses of that they,displeasure
484, There no axis Facing Kindly start the,displeasure
485, we apologise for any inconvenience caused to Please write to us at,miscellaneous
486, its been no update on my App,displeasure
487, not Please ask someone to call me,displeasure
488, even more surprising that the given number is not registered with,displeasure
489, I really appreciate the efforts you are only bank who cares and makes Thank you,compliment
490, Despite pleading we had no money for bt manager wasnt letting us in aft Tho u had sent deadline,displeasure
491, Useless bank closed trouble to customers in,displeasure
492, Most of your even Then why send smses of that they,displeasure
493, Axis Atms still not We are facing,displeasure
494, one month no use but problem Thank you so much,compliment
495, thanks for all ur,compliment
496, No my problem was not demonetization but U stopped ATM service hour midnight in axis and othr banks,displeasure
497, Will the deposit machines be functioning,miscellaneous
498, wov even private bank do not have money for how common people live hrs no money,displeasure
499, Please allow us some time we will get back to you,miscellaneous
500, having big time trouble in using axis mobile in my dual sim works fine when i use wifi but it doesnt using,displeasure
