,Tweet
52, None of State Bank ATMs in our area are Thanks to ICICI bank ATMs which are dispensing State Bank is great
53, boldest move modern India every financial institution Nd law abiding citizen day to celebrate
54, Congratulations Best wishes to chief Ms Arundhati Bhattacharya for
55, RT organizes Debate competition in collaboration with Public Participation In Integrating And Eradicati
56, website says Monday is holiday for Why has this not been changed
57, Please provide I want to lose my hard earned Thanks a lot for your
58, why your netbanking is not working
59, SBI bijwasan delhi manager shut down bank before as said pm on want strict action against
60, RT will surely apply whenver an opening in
61, Once is not related to The ATM machine itself is One of the buttons work at
62, Most of them are now how long will you take them to
63, Let the recalibration of done Sort initial issues run with remove burden on
64, Please take necessary Else this is grow up in a big Aged and illiterate will fall prey for this
65, Why still bank r not Has announced
66, Appeal to govt bank employees plz dont go for long lunch hours as u usually go
67, claims no money for withdrawal here in Pune
68, if you can provide service only in english and hindi then why you close sbi in
69, Hope and of Top will soon onboard the
70, Contact centre unable to provide help on state bank achiever Standard reply contact card issuing
71, complaint tkt stil unresolved after working time frame fr complaint resolution
72, Been more than hours but still they register my complaint
73, AM no ATM is working in the city is I visited so far since
74, First update money in all atm centres in all over People are suffering so much
75, sir highly mismanagement is there in Shahdol of ppl lost money cause of money stuck in atm
76, Sbi keshav puram branch no the officials are doing nothing here
77, Thanks for the info
78, When Are The Going To Open
79, What is the current business hours of SBI Branch at this
80, latest update Saturday and sunday Open
81, ATM opposite estate branch Raipur Is not dispensing is is very
82, No response on mail or even i call center Grievance escalation team also not
83, wht abt d pln ur stf membr have wid d family vacation aftr yr is It all is for public
84, Rs crore received in deposits after demonetisation by via
85, paytm supports factor Was able to top up till days Now getng error ur bk hs disabld this option
86, The branch always says it is I never get Else why would I be complaining is to be
87, Can I withdraw using Nov cheque can be used only
88, RT Rs Crore Cash Deposited in Bank
89, sir pls share come to reality
90, RT no What is sbi minus LIC and Govt Fund
91, U might have huge customer base but ur customer service is
92, Is the bank open on or
93, I am at SBI Mutthiganj Branch Allahabad they are not allowing any body to inter insert the branch
94, When will be the new notes available only things work
95, good scheme
96, Jamshedpur branch say MONEY EXCHANGE will b done fr ACCOUNT HOLDER in der guideline VIOLATION
97, ATMs still not Now becoming painful
98, Not for all branches I want to say that please stay bless and gives these facility to all over your
99, Good should tie up with some famous online store like Than it will feel some practical
100, today deposited note of in SBI but they have debited of interconnect charge
101, complaint recorded on website but still waiting for ticket reference
102, they issued me a debit card but when i came to generate password and fail to do chk with customer care
103, RT so Kannadigas shd learn to get assistance frm
104, Big Wish To Win
105, I just replied with my contact details and account please consider
106, SBI ATM in ecospace is not refilling from yesterday arrange d cash
107, plz reply
108, SBI ATMs in Gaziabad still not
109, They say charity begins at But No Cash in ATM in finance ministry
110, genius idea it was to release before You even get change for even if you have
111, RT We have informed the officials concerned in they are on the job htt
112, yet SBI Bamhni Mandla not opened
113, RT Despite Orders Vastrapur AMD branch opens at and closes at WhyM
114, old currency is hours is
115, sbi Chasnalla Dhanbad jharkhand not allowing customers after even after all customers exited at what action
116, no cash in many ATMs in us
117, RT they dont have the readiness yet to deal with the situation
118, sir what will the procedure to return the currency
119, I think we common people are treated as no identity for sbi worst Of sbi branch manger
120, Ur ATMs in MS Palya Circle and Vidyaranyapura in Bngalore show option in Marathi instead of Can this b chked
121, When says they are the Banker to Every they mean it Ban
122, the letter which I handed over to Cyber Towers
123, gud for complain redirected to already speaking to the mgr from last months and that guy is unable to help
124, currency exchange form are in English be in every indian language for ease of common
125, no cash in send cash in all
126, it is one way good to evaluate our preparedness in any emergency to deal with prblm mam people wil cooparate u
127, I have not received my wave card till to
128, Long non bank something
129, The best banking brains praising not in favour r either dumb or anti
130, Kachehri Chowk Jai Stambh Non of the ATM and Money Deposit Machines works properly most of the
131, Lisie hospital branch issues token for currency but no change is available with the bank
132, card number complaint number
133, None of the bank atms are open till now
134,
135, arrogant behaviour by Juinagar branch manager to my surprise he told me light bill is not a valid document for address chang
136, hello can I ask
137, why d charges making pymt thru card if govt wants real cashless abolish these charges
138, none of the bank atm r cash to dispense in BG rd area
139, i receivd a cal Sbi kollam office said sbi staff is not responsible give shld check
140, we see long queue of desperate people waiting out without
141, My father is also banker I m in is in I understand the ATM so I was quiet Bt won
142, sbi behala is seriously understaffed causing inconvenience for
143, ATM Able
144, Banks closed at pm even though RBI asked to keep it open by pm
145, I have registered complain there waiting for Thanks
146, RT We will work round the clock to ensure that customers have a smooth experience says chmn Arundhati Bhat
147, Why have u allowed Divisha Mgr to go on Sabbatical without my Return my
148, Looks SBI server is not respondin unable to use in Cc Location Bangalore
149, any
150, Ln oly exchange n dpsit no widrawl C cn of IT
151, To Please direct your respective Branch Managers to enable use Green Channel at least for CashDeposit
152, it is now but situations remains same is no fund in ATM
153, notes have not been given as says Chairman
154, sindanur s in Karnataka s t official lang f Y should writ oly n Eng r hindi seek assistance
155, What the hell it is going on the bank was closed on and the bankers use very worst
156, One of ran out of cash early
157, what is your helpline number for changing old notes
158, try to function all
159, Cr of Cash flows from homes into due to Banks
160, days have sbi is unlike to decline the students obtained marks
161, Separate counter should be opened for senior citizens at each
162, thank I want to join my account with Can I do through this
163, your onlinesbi say session has Please login always in first login of use
164, others Please do this on your own instructions
165, for being top engaged community members this week your Insight by
166, Scenes from Mile Branch at Spot black money
167, I have blocked my debit card few days before How do I unblock it again or should I apply for a new card
168, was doing a happy obliging in got all smaller currency in
169, Worst bank ever
170, good to But sad thing is to know that practically not done by
171, Prime minister sir kindly make provision for those who cannot write to exchange and in banks
172, RT Dear Stop bombarding with worthless Do ur job Replenish ATMs fast
173, I DD NT GET SPECIFIC COINS TO
174, Hello I am in I have some cash of How can I exchange here due to the act from last
175, Banks shall remain open tomorrow to maintain BAU as no cash transactions
176, RT bancks are open
177, not any rush here but employees are not willing to work till
178, many times requested BM FOR NET BANKING MY purvanchal bank sponsored bank date no RESULT VERY BAD
179, so this is status of above Pre Login Complaints
180, Complaint
181, have an NRO No family member is going Inida Is there any way to convert this
182, Can you confirm this It is serious
183, Got a call from pretending to be SBI employee and requested for expiry date and
184, Please open ATMs for us to Use
185, why cant sbi have separate lines to ease out things
186, WE ARE ALSO PROUD TO BE YOUR
187, maximum chaos created by cash xchange some appearing proxies for
188, Received a fake call from a person named Manish kumar for ATM card renewal Action
189, Will provide services only to those who know Hindi or Banks should be directed to serve cu
190,
191, but PTI said that only received as Rs Whom to
192, will your CDM take old and currencies day after I understand huge work pressure on u plz Reply
193, RT Book this man for spreading Misinformation
194, Ppl may misuse n take advantage of the way employees r nt checking n photocopies xchng of old n
195, can NRI students who have notes get it I have brought money so that i can use it when i come back to India
196, should tell or any bank go in industry open all labor transfer in cash
197, The working extended hours is a SBI Jayanagar shooed me away when I reached there at
198, why your ATM of narendra dev university KUMARGANJ FAIZABAD UTTARPRADESH BRANC is not working till now
199, Why DC was not a Gay LOL pathetic British politicians passes LAW
200, Your partner banks are not able to infuse currencies notes in no need for daily Pl review
201, net banking not working
202, take actions against the officials of our area They are lazy on normal days and also emergency days like
203, When will the ATMs open on Vishnuvardhan road in
204, RT of Will Be Completed Within
205, and they are all it
206, Thankyou for the help
207, This staff did not hand over currency exchange form until shown photo copy of ID VIP D
208, salute to all over india SBI employees for best service
209, Is this official statement of
210, Thankyou for your
211, totally wrong
212, RT shut your branches in Karnataka and all other non Hindi speaking states
213, Is that number across the country or in the National Capital
214, a Der r languages on our Mind
215, Please tell withdrawal limit only for
216, ATM are not working today itself kindly do the needful people are suffering in Aurangabad Maharashtra
217, the banks has been closed at pm itself in greamspet branch in chittoor
218, Sir can we deposit old notes in oversees branches
219, organizes Debate competition in collaboration with Public Participation In Integrating An
220, RT First learn Kannada and then serve in
221, I checked into But some of the branches are saying that they dont provide education loans for
222, You can get in touch with them through their Twitter handle or their website
223, not able to recharge my paytm wallet by net banking please advice
224, branch colsed at allowd public after pasighat arunachal going on
225, No works today For petty cash for daily use
226, My Wife have not any account in any she open account
227, answer me
228, RT dear y r u advertising on TV channels which DO NOT have any y r u wasting as a Shareholder I
229, to media channels there is only in
230, SBI Sapatgram br carry out orders to keep the branch opened upto are being
231, some local businessmans are collecting voter ID card xerox from people by exchanging their old notes to rupees notes
232, whether the recent reduction in the home loan interest applicable to existing
233, hence my question
234, if i deposite today notes of and can i deposit tomorrow also in same
235, any news on how NRIs can exchange these
236, needs to stop financial inclusion drama if they serve their customers in a proper
237, i want to transfer my sbi what is the how can i apply online for the pls guide
238, The ATMs at your Abhiramapuram branch are not working yet
239, Instead of he has received Used idbi debit we have not received the atm slip
240, Vijay Mallya ji is getting ready to return all his debts to but only in cash of and
241, there must be some tricks to make black money to Please take care of
242, RT this was crowd at when closed t waited after heavy protest put n
243, I deposited more then non home home branch airfield srinagar and now I am in Pls help
244, Dont worry a My wife works in r taking IDs recording with
245, both of ur all in not working even
246, Can I deposit at
247, This is why Mr Modi did all but Mr Manmohan
248, forgot my user Id and password of Internet give me
249, Complaint has been routed to VII Bareilly for immediate
250, my IRCTC Railway ticket is not book but amount deducted in my sbi
251, ye atm me do din se paise hi nahi to kahase pathetic will open my acconut
252, this type of window coming then another also coming that card is invalid
253, Right from Jan Dhan accounts to currency swaps they have really slogged it
254, can I expect any reply or help from your side
255, No working at the Juhu Circle Any reason
256, pulgate brunch still not opend till they are saying we are going to open
257, India have Hindi keep that in mind assist in other languages
258, if possibl introduc token systm like passport app avoid que mismanagmnt at banks
259, If you do not respond to messages to you in my are you saying I belong to
260, In karnataka state hassan dists arsikere taluk jayachamara pura sbm staff are not cooperative with rural peoples
261, MONEY EXCHANGE GREAT TASK BEING DONE BY SBI AGREED BUT THIS HAS GIVEN A LOT OF TROUBLE TO ACTUAL CUSTOMERS
262, I sent you guys a email days the needful
263, Congress do any thing
264, RT alleged that Balurghat branch is not supplying enough money to the Head PO
265, This is SBI branch at Nanganallur Chennai was insisting on signed copy of Aadhar card o
266, RT just used ATM at Indore no rush got money in five minutes
267, some people saying that banks provide lakh cash for marriage after providing letter signed by ADM or Pls conform
268, Hi just want to know can we deposit old ccy notes via deposit
269, How much time does the whole process take
270, RT In Total Deposits are about Rs Cr in One half I imagine rest of
271, in branch only two counter running n a big line counter should
272, SBI in AIIMS campus has only one counter to make no token system LCDs r
273, Am proud to be a long time customer of STATE BANK OF INDIA
274, any sbi branch is not available in my
275, CBRI IIT roorkee nt isuing new Is it out of They vl gv it day aftr Hw srvive
276, is it mandatory for a cheque to bear the sign of the payee holder when it is deposited at a branch no cash involved
277, SomeSaying
278, RT why is there no pref for senior citzns for note exchg After waitg offcr says person per
279, Thank you for introducing netbanking to Comes handy in this fight of
280, if issue is and how come ticket is What is
281, The attitude of a Complete post here
282, FYKI most of the SBI ATMs in are closed from resolve this inconvenience
283, complaint Ticket
284, Please give free number of transactions in ATM for this
285, Pathetic services by Have issue with home loan and nobody helping me out cust call on
286, Team India has a vision of but banks are working with the style of
287, till everything is streamlined ATM transaction usage limits should not be capped
288, no public dealing even after RBI guidelines and ceo speech from to rajguru even closed at pm
289, thanks for ur reply but i dont c any efforts from u as the guard says atm will get refilled directly on
290, Can I as a customer deny accept ny notes dat are written upon while dealing staff written or otherwise
291, Okay we got you are open to serve now please stop sending sms
292, All Cash deposit inside of sbi branch in Ghughli Maharajganj side of people stand by in row from
293, Can you reduce trans costs on UPI pay for trf to for now
294, pls tell ki FD karne k liye days late hai kyapls rep Malad east khurad branch mumbai
295, Such an unexplainably ridiculous service overall across call processes and intrnl
296, RT at monestry in
297, The service of is completely an They need miles to go as far as d services of pvt banks ar
298, branch saw a big queue today with Vinod Dushyanat Santosh Ramesh Bidhuri falling in
299, Its am stil gate not open of Sbi Hojai bazar suffrng
300, SBI SME branch Dilshuknagar not accepting Non Home account old note deposits
301, Plz urgently let me know if I can deposit my
302, SBI is the most corrupt and indisciplined bank of
303, ATM against People is too less plz open all and instruct other banks to open it
304, yes i will do Will be happy if you look into this
305, no reply
306, close kar diya Aur aap lok kuch nahi karte I understand why are you say bkn is opn
307, can I deposit rupees to any SBI branch
308, Banks are waiting
309, Sbi Vindhyanagar branch get closed at pm only please resolve it
310, big action on this morning ws workng
311, To get rid of him
312, misbehaving with all the account holder and even senior Citizen using slang filth abusive
313, We appreciate your hard but in remote areas are facing currency Please expedite
314, medical can my family expect urgent attention on this
315, RT what an Irony for staff at not using Please help
316, there its showing only cheque number not any details y seeking urs help father recal where its issud
317, kindly provide some information and assistance
318, Pls fcilitate poor snior citizn ptients thnks ur copratn suprt
319, RT sir pls share come to reality
320, i have lost the count of number of times i have given you the complaint You ask the same question every
321, share me the details how can I generate it online
322, sir Where can we exchange our old bills here in Canada without NRO Not accepted by
323, thanks God
324, last month home loan account was branch still direct debit has been raised
325, please share the authority letters format required to be used while depositing Indian Rupees
326, sir these banks have their ATM at nirankari colony but none of them is
327, what is banking hours for this
328, The latest The Website Redesign Services DailyBy iEkma Thanks to
329, RT Fraudsters target vulnerable Says Arundhati Bhattacharya
330, I hate this bank really frm long one year going to bank to open account
331, Dhekiajuli branch have refused to pay against withdrawal through they have money to pay
332, RT In my area the banks were doing this token issuing since
333, Pl alert me once ATM is loaded and functional and the ATM has resumed
334, branches and atm were releasing it last week Today there are enough what about
335, this facility should be extended to all Public and
336, Been more than despite completing all necessary formalities for KCC your Bank Manager is avoiding providing
337, Will New York branch swap Bills for very small
338, Sbi internet banking locked imediately after changing mob number worst When u know programming
339, I opened of my daughter at NIT Fbd branch on Oct deposited the fees with her school chq Rs
340, RT This is what I saw at the nearest Sbi ATM ID
341, Time is does not have a single counter working
342, cash deposite machine is work or work good
343, Scary to take loans from coz of treatment meted out to The way they treat customers is
344, we running outta cash on Dehradun UK
345, what is the process to get my account do i have to stand in note changing queue or there is other way as
346, Now I am enjoying benefit after my retirement with out begging
347, Sir please ask the Banks to provide single note is creating
348, i had applied loan at IDBI bank last week and it got sanctioned in a true image Slowest Bank of India
349, Cash exchange upto
350, y u have shut down the
351, RT Please take Staffs not co
352, DO SOMETHING FOR ATMs
353, we hv sent all relevant details along with FIR copy at mentioned Hoping for positive and quick response at
354, I ve yrs IT exp have given softwares to But defence pension caln is diff Each case is diff
355, We have a lot against SBI behavior spl with senior citizens and sick
356, satiating the assuring the Great job
357, CHENNAI branch entertaining ONLY der CUSTOMERS for denomination
358, Hey need a
359, ATM was not filled with cash at Place
360, how to avoid this
361, Your lazy Kamchor Employes making it worst and inconvenient for the Tell them to help ppl
362, cards at the same Only for depositing money n opening new accounts for those who have account n are suffering
363, Banks shd withdraw cap on free ATM withdrawals with new rule
364, every body wants to fool
365, RT Got the money in my bank in Thanks to the Staff
366, Bankers will work for hrs a day and days a week Are they or wat
367, Retweeted Says Received Total Deposits Worth Rs Cr
368, today I have siddharth vihar branch stopped cash
369, thanks a lot to you all for your great help and support to make our country blackmoney May God bless our PM Modi
370, the number I got that call from is a concerned citizen customer i urge u to look into this matter
371, pls start our salary
372, responds to story break of CCI scrutiny on heard it first on
373, queues at ATM machines r sud b mre considerate abt senior citizens
374, is the website down for some
375, RT Lesson yuck but makes a valid point abt Our Currency
376, SBI Banks closed before PM yesterday at Udaipur help udaipur
377, People come with different id proofs to change the higher value
378, Volunteers and Teachers assisting people with forms formalities
379, earned for the quarter stood xx So much for a quick
380, sir all ATM in aurangabad are without cash shutters are down of ATM
381, provide service in my language u r of no use in my Please vacate from Good bye
382, ATMs are still not working despite instrctions from ji to get it ready by How do a common man
383, sanjay gandhi trp nagar branch of sbi not changing only will b returned rest will b deposit in
384, Can we deposit notes in Cash Deposit are they functional accepting cash of notes
385, Please waive the need for ID etc for banks customers while exchanging notes to speed up processing
386, Thank you bankers for your kind co
387, Sweden leads race becomes cashless society iZettle charges r lower then Buddy
388, my branch code
389, thanks SBI we know that only your service will help
390, I have faced and heard the unacceptable behaviour and talk of manager Its really
391, Public parks over Rs crore in alone since yesterday
392, u have done nothing
393, If you ask us to use only in Hindi or English then we require please close
394, Tomorrow Banks will be closed for withdrawing these notes from counters ATMs says chmn Bhattacharya
395, to but any msg after copy no ackwld from local office
396, Rajajinagar branch of SBI closing before This is how SBI helping people to ease money Worst bank
397, Plz need
398, Celebratee Name Anup Kumar mob Not
399, not proper counter in branch tokens machine not working please cheque counter separate for branch
400, IF all officials are PROUD INDIANS RECOVER MONEY FR
401, hello can you advice what course of action NRIs need to take with regards to the obsolete bank
402, The net banking n other services r fabulous of Bt today i m a bit image of SBI came down
403, is it mandatory to carry passbook to get New ATM Pin from the branch Plz The clerk refused to give
404, Privilege to MPs is for MPs and VVIPs Ony
405, Do recruiting more skills employees who work good in emergency times teach them how to talk
406, RT why you make some branches dedicated for Sr Citizen why not serve water to ppl in
407, working very
408, before per transaction charge was but from transactions sudenly started charging in kyrgyzstan
409, RT I swiped my card and withdrew any facing Unsure y media n oppsn crying foul
410, ur bank is nt accepting cash to be deposit in the account which is in mograhat acc holder is Dahanu road with his ID
411, Studying in Have Single Pany In ATM is not working at What shoud i do
412, please provide money in ONGOLE from tomorrow are suffering a lot for insufficiency of
413, Sir ATMs not open till today in greater noida west
414, sbi organisation select people by talent u should teach them manner as well how to treat wd women and old men
415, Stood hrs in line of SBI atm and it is saying other bank atms not
416, RT Already Rs crores deposited in we have more days still to
417, had gone to submit my cheque they told me to come in que
418, Opp shld support since the cost of this country is born only by true tax payers poor till now
419, RT All SBI ATM Gzb closed or no money
420, RT I went to HDFC New mismanaged Depends on the Manager
421, I have visited bank service score of my view
422, Digital Jeevan Pramaan did not work in I had to personally go to home branch to
423, request to operationalise at it ll relieve pressure on needy
424, non account holders can only do an exchange that is But the others can deposit as so it makes sense
425, Dear it is best chance to rebuild SBI into a great bank Clean the shit out of Just do
426, how to solve this problem
427, Provide Notes in Exchange of Old
428, they told me that they are dealing with account holders only m maintaining my account in SBI but in Bangalore told
429, request u consider having EXCLUSIVE women
430, ATM at Raheja mindspace Hyderabad not dispensing cash Please fix
431, SBI Ballia is starting at AM and closes at Selective people are given Gate was locked at PM
432, Service of sbi in these days r very poor in comparison to private sector yesterday and today I went to deposit but
433, lunch time at great service given by bank
434, officials r nt at all allowg custs deposit cheques their except exchange new notes vich will hamper small busines
435, very well acting patiently with nt started yet at and othr banks
436, I honestly support this seem to work as promised all hav no cash
437, Good
438, well done in helping many exchange their notes at Kundanahalli Bangalore
439, sbi manager is refusing to open bank at am he said he will open at am
440, start ATM with only notes for replenish frequently
441, Are not bankers human
442, RT Thank you so Much SBI for Choosing me one of the winners
443, BREAKING India reports the most number of withdrawals in
444, RT All the banks are doing commendable those who r losing money are shou
445, Common men has but not as much as hype by media and photo opportunist political
446, Sir station pr sbi ATM me Paise nahi Plz solve this problem
447, what we have to do
448, RT Regards No ATMsPin code has cash http
449, This cash deposit machine defence colony has been shut Please fix and revive Urgent h
450, Honest Indian are in banks depositing hard earned hoarders and others cribbing on social
451, all bankers mutual funds wealth managers mu
452, evryone
453, How would you stop people from of
454, RT Kannada is not an foreign language and Hindi is not National language change your atti
455, very translation done by bank
456, Are you not providing services in Speak the state
457, if someone have cash amount near rs lacs with rs notes What to do legalise Just for knowledge
458, server r going down
459, same issue was here closed bank but no info
460, humiliation
461, if you need temp or perm employee pls contact me Thanks
462, why sbi branch RPFC jyotinagar Jaipur closed before
463, why IIT Roorkee branch has kept not allowing Its utter
464, carrying cash We have any after master stroke by
465, If u need for jst say so y give a date n nt keep it
466, THE COMPLETE ADDRESS OF THAT BRANCH IS SBI CITY BRANCH ORAI IFSC CODE
467, limit for exchang rs but sbi exchange rs for per lower Nd middle fmly in prblm
468, Even Online and card payments at stores are not please take the appropriate steps
469, very unfortunate that no ATM s open in What kind of banking is showing by
470, and because of that i and my mother have to visit branch twice just to submit another form
471, No cash for withdraw for account no ATM working for last days at refinery Townships
472, I tried now and I paid my sbi card bill online a few days
473, We understand that even u r helpless
474, ATMs are still closed in bangalore any update when they will function
475, I am in Rajkot Nagarik our branches are doing it with consent of those in Q
476, SBI Najibabad treating people like check
477, Many poor people are bribed to deposit black money to their Plz check
478, Sir ridiculous that ATM abroad also applying left without cash in Singapore with days to go
479, is SBI charging intercity charges on deposition of old It is unwilling to Hitting customers
480, got some more pictures of notes
481, Queue at State Bank of India
482, A sincere request to withdraw the inter branch cash deposit charges for a week or two because of scheme
483, SBI branches closed early today by orders from RBO save overtime payments to employeesis it right to do so
484, Why are ATMs still out of
485, RT entry only added to the chaos with so many security guards inside the already crowded
486, Acc no Rs thru Internal card transfer to diff WO my Knowledge on Help
487, but as per your site what i your website is another face of who will update info on website
488, thk abt Indians who are in foreign land and will cm after mar
489, Board Approves Issuance Of Bonds Of Rs Cr
490, Thank you so much
491, Contion of an sbi atm here in our no security guard to look after
492, please take action against them
493, Email sent with Please do the needful Thanks
494, Indian banks have
495, banks should use this as an opportunity to provide exemplary customer service
496, RT says branches will be open tomorrow till
497, When ATM Machine Should be Open
498, ventured at realize d agony of visit far
499, all dis is conspired by dis is d reason he did an campaign for Sad
