,Tweet
174, pl intervene too because axis bank never reply any query
175, RT what nonsense is this u text abt d bank being open till at PM Wow
176, second sms from axis going of my mob being registered for DND
177, RT is your Def Delhi branch is discharging public function or helping priority customers
178, we have taken the feedback and will share it with the respective Thanks for writing
179, I have written to your managing Check her Shikha sharma
180, Game of Outside and We the beggars with money in
181, Thank u for ur response right This was a problem faced yesterday n Pics for your refer
182, i wish that they get functional from without any
183, Branch manger V K Mishra abusing people who came to take cash and told ppl to close account BASTI UP
184, You never talk about excess SMS deductions but keep sending one bit too many unwanted regards
185, is Twitter the only way to get the attention of customer My complaint is unresolved for past months
186, Branch railway road gurgaon hinder people in depositing
187, Why Axis Bank Debit Card is not working with the Payment of Amazon
188, will it function tomorrow morning or still no I can name other ATMs
189, i went to their atms yesterday and all were much for their support
190, the messages are to keep all our customers informed regarding the current
191, NetBanking not working Page just does not move to the next Call Center says Server Issue Pls Fix this ASAP
192, Please note that our will be closed on Nov For more details please visit
193, I have a saving account in axis bank can I deposit into my account
194, thank you muchly
195, Everytime new service request number What about old
196, sorry for the look into it on
197, its more than days that I filled application for savings till nw no one contacted mobile number
198, Your ATMs in Manisha Nagar Kalwa are out of Service
199, this happens when u call for No only that stupid Check the screen shot be
200, I have salary Acc wid axis n wanna open ppf Acc wid axis
201, Lol same Fed up of texts I have got in last BLOODY JUST
202, can details Branch address Cc what the hell is we ppl are
203, sorry for the Please help us with screenshot of
204, What time do the axis bank take to clear the local station cheque
205, Details have already been given in DM that you requested earlier
206, sorry for the Please share the exact location
207, your people in local branch have returned my cheque for reasons best known to they had time to find but
208, why will not separate line for account holder to deposit and this is not think about
209, we would like to inform you that old notes will be
210, why is it so difficult to lodge a The netsecure pw takes too long to There is no addressing d issue
211, please share the application ID at for us to assist
212, slowest service in cash deposit one counter for people
213, nobody is bothered to refill the the machine is empty since the time it got please
214, can we deposit cash without card
215, RT thanks for bringing this to our Well take this up with the branch
216, Axis sms says all ATM Patheticaly Narimn Point Brnch ATM stil closed since Gross service stndrd
217, And multiple visits n form fillings at the branches
218, I know you appreciate my but stop testing
219, for information regarding please access the following
220, as per pic we have trouble in depositing or withdrawing cash Tech Village BLR
221, Shup down this centre for the day It looks awkward that centre is open but not oper
222, Thanks for your Do we require to carry the proof of id for making remittance in already in records with Bank
223, thank u Axis Bank for ur Feeling
224, please share the exact location of
225, Axis Bank ATM at Regency Prahladnagar is not
226, send a mail from registered please check and get back
227, Request all banks to stuff note in ATMs to dispense Dispensing note is not wise planning
228, Is it necessary to submit the AADHAR CARD for remitting in regular current account
229, Still u r looking for service request number Already one month gone
230, Ref Are u going to resolve my Its been more than a
231, the messages are to keep all our customers informed regarding the current
232, if possible please unblock my wallet as fast as its been blocked since December
233, please write to us at along with complete branch details for us to assist
234, the cash deposit machines will be functional from November In case of
235, Jaitley ji can u take action in this type of vvip
236, thank you for sharing the location Well take this up with the concern
237, y my old debit card has become inoperational when i am yet to receive the PIN for the new debit card that you have sent
238, are you working
239, sorry for the Please share your concerns with us at for us
240, sorry for the Please share the exact
241, were sorry about the bad experience you had at our Thanks for bringing this to
242, Just walked into thane kolbad branch and got my money deposited very Keep it up guys Kudos
243, Can you investigate on this and take preventive action if found true
244, I will file complaint in consumer court for harassment case
245, Thanks for quick Any limits in
246, No AXIS in Mumbra is able to dispense
247, none of your ATMs in this area are operational Highly look into
248, RT Its common sense to provide option at first place whereas Hindi n Marathi options r of no
249, Your Services are Very I wish to escalate my issues to someone senior who can understand help resolve
250, Axis bank CDM machines in Karnataka has the same but
251, Why you deduct and how many times deduct my with costumers
252, axis bank Internet banking not
253, when would u contact
254, I fully agree with the point and appreciate all my brothers and sisters who work in any
255, RT thank you for writing We will connect with you at the
256, Do I need a copy of PAN Card for Party Cash
257, DM stands for District Magistrate or AXIS divisional Kindly clear
258, we are delighted to know of your interest in banking with For information on savings
259, can you please let me know the standard sizes of your lockers small medium
260, y send sms saying ur ATMs r open wen painfully went to different ATMs HYDERABAD
261, when ur branches are going to open the Branches have new cash but they put cash in
262, sorry for the inconvenience Please share
263, were sorry about the bad experience you had at our
264, via DM for us to connect with
265, no service to the priority The managers answer at all
266, thanks for no reply and no action on the operation head we have a total accounts in my family alone we will close all
267, MasterCard not working since Why are card transactions
268, Documents submitted on Does it take a month to decision a credit
269, were sorry about the bad experience you had at our Thanks for bringing this to our
270, respond
271, please visit your nearest Axis Bank branch along with KYC documents for further
272, please visit and share the
273, thank have sent a mail on the
274, I hv raised a query on d link provided by
275, Can you please tell me ONE single ATM in Gurgaon which is
276, oh I understand but many of the messages are repetitive and regarding Atms most of which have run out of
277, for car loan please visit the following
278, Bunch of inefficient employees are harassing customers and no action has been taken till
279, the link is not Trying to send through that form but no success message
280, Your bank should start the cash deposit Despite sending a ton of SMS were non functional
281, sorry you had this Please share your account details with us
282, is the branch at Bangalore open to make cash deposits today Till wat time are they open
283, sorry for the unpleasant experience Thanks
284, Again same copy pasted the standard matter
285, alreday sent many reminder Can you help
286, complete branch details via DM well definitely take this up with the branch
287, to generate credit card please visit
288, sent Though i am not I hope my information Will not be used for telemarketing indulging in
289, a failed internet banking transaction gets reversed automatically with in working In
290, is your Def Delhi branch is discharging public function or helping priority customers break exchange
291, we have made a note of your feedback and
292, thank you
293, dhamankar naka college road atm started working after few transactions key pad stopped
294, Your net banking is not Says Server
295, please visit and share the
296, and what about
297, none of the ATMs are working till What a great service you are
298, no busy since morning
299, Only buying it because a frequent flier on Not because I love ruining name
300, Any
301, why are home loan documents sent to old address instead of new address
302, i got my new ATM card but it is not activaed yet can you please activate it
303, Due to heavy traffic on withdrawals you may find some of our out of In such cases
304,
305, the ATM is having no but technical snag
306, please check response from
307, only reference number I have received so
308, IS CC team are available
309, till now ur atm is shuttered dispensing the vehicle came and collected old at
310, Any
311, please check
312, what is going Seeing multiple reports of debit cards not I have NO access to money otherwise VERY
313, All ATMs in VimanNagar Pune Maharshtra Please Resolve it ASAP sir
314, ATM at several place in Gujarat not opened till debit card payment not working
315, A small which is equipped wid min askn me nt print receipt to environment
316, the messages are to keep all our customers informed regarding the current
317, does the cash deposit machines accept the newly introduced rupee I would be willing Pls
318, were sorry about the bad experience you had at our Thanks for bringing this to our
319, All ATMs in VimanNagar Pune Maharshtra Please Resolve it ASAP sir
320, ATM at several place in Gujarat not opened till debit card payment not working
321, A small which is equipped wid min askn me nt print receipt to environment
322, the messages are to keep all our customers informed regarding the current
323, does the cash deposit machines accept the newly introduced rupee I would be willing Pls
324, were sorry about the bad experience you had at our Thanks for bringing this to our
325, written n messaged
326, none of ur ATM has cash in Ghaziabad
327, Dear i appreciate ur support n help at ur ppl jus create rumours but awesome experience with u dis
328, you can visit your nearest Axis Bank branch for cash withdrawal and
329, pls check earlier Your link Axis is a fail
330, Very very slow service and Faizabad tanking lot of time to
331, why r u making Its not user I m unable to access No complaints can b lodged on I hate
332, due to heavy traffic on withdrawals you may find some of our
333, axis rewards active one of the pathetic Really
334, have generic customer care Long to process to talk with
335, we are keen on understanding your Please share them via DM for us to assist
336, DMed the digit number on Now waiting for the Magic
337, bank is getting control its
338, trying to submit form on mobile and repeatedly not going through verification code keeps all fields filled
339, So your branch people are sending us away refusing deposits and asking from where did we withdraw and
340, may I know when is the technical error going to get solved with travel I need to withdraw money asap
341, u send me sms saying all your are operational while the one just in front of my building is still closed
342, LaxmiBazar and you are sending smss that you are with your
343, jaipur branch good arrangement for exchange of chairs available for customers
344, sorry you had to see our ATM this We are looking into the concerns you have
345, U have only branch in Basti City Kotwali This incident took place evng Tmro i will lodge a
346, Just junior most staff working in Teller booth counters all other doing
347, sorry for the Please share the complaint reference number which you may have
348, Great service done by all the employees Hats off to all
349, We have checked and it is working fine at the Please clear your browser cache and try
350, i yet received my chequebook that i requested on Nov Please provide an POD provided is
351, hope this this will give u idea what is problem n Of days struggling to make payment
352, cant deposit cash as your cash deposit machine was closed All use my own
353, All axis atm machines are out of Please
354, Pathetic service at Kndvli In line Only person given Pls take
355, Can any of my family members deposit old currencies in my account on my behalf
356, a pity that in the year you guys still have a responsive web design for
357, no cash in atm since two not even replinshed Vikhroli West
358, we are sorry that you had to face the we will surely
359, location
360, please share the details at along with the account number for us to assist
361, we are keen on discussing your
362, sundar nagar branch Its just new branch why here all staff was free cos new branch have less customers
363, only snack soft drink was to be chosen call it lounge access
364, Why spam me when not ur Making most out of
365, LaxmiBazar People are suffering as you dont have made proper arrangements
366, you are not filling the with cash
367, you can check all the variants of credit cards offered by us at
368, Please stop We get the Once is
369, sorry for the Please share your concerns with us at for us to
370, Why no ATM is running in morning we waited for
371, your contact details via DM for us to connect with
372, we are sorry that you have faced the inconvenience due to Please note that
373, same here unable to do any transactions
374, LaxmiBazar your staff even are coming to work after and starting after
375, whts the point of opening an accnt if this is gonna Cash I wld hve gone to some other
376, please share mode of communication Mobile ID on which you received
377, DMed you the
378, thanks for bringing this to our Please share the branch details for us to look into
379, due to heavy traffic on withdrawals you may find some of our ATMs out of
380, but firstly Axis have to support axis then you can handle the exchange
381, No cash in branch even are life is ur attention
382, Hey staff is not verifying documents during exchange of currency
383, please confirm the branch which you visited along with your contact number for us to look into
384, I have the call recording with which I am going to upload now
385, RT RNA corporate Bandra Mumbai The way you people are handling crowd is
386, Both ATM are not come in Please help and start atleast
387, its perfectly understandable that youre very upset about whats
388, worst thing is that I have anything to do with
389, everyone at your org has standard There is a difference between answer and resolution
390, Dear I understand your urge to support your customer by sending But I am So consider removing my
391, your are out of Please refill
392, These are really trying times for If then who Branches closed by
393, the messages are to keep all our customers informed regarding the
394, it got done after and Half Never faced such things with any other U sud improve ur inter banking services
395, I tried bt of no help
396, Well a long queue for Cash Deposit Already half an hour wait
397, urgent requirement standing in long Out of Axis Powai Mumbai
398, I just want to know about the way of The linking way I just did is sufficient for linking or
399, please share the contact number and screen shot of the SMS
400, were sorry about the bad experience you had at our Thanks for bringing this to
401, again having trouble logging in your I can access every freakiN website but only axis
402, your are out of Please refill
403, These are really trying times for If then who Branches closed by
404, the messages are to keep all our customers informed regarding the
405, it got done after and Half Never faced such things with any other U sud improve ur inter banking services
406, I tried bt of no help
407, Well a long queue for Cash Deposit Already half an hour wait
408, urgent requirement standing in long Out of Axis Powai Mumbai
409, I just want to know about the way of The linking way I just did is sufficient for linking or
410, please share the contact number and screen shot of the SMS
411, were sorry about the bad experience you had at our Thanks for bringing this to
412, again having trouble logging in your I can access every freakiN website but only axis
413, Nw u did the same thing with my DebitCard any w nw u
414, But please implement this as early as possible
415, were sorry about the bad experience you had at our Thanks for bringing this to
416, not your customer
417, all other banks are serving there customers except shame this is the time you improve
418, sorry for the Please share the exact location of the ATM for us to look
419, please write to us at from your registered email ID
420, IS THERE NOTES AVAILABLE ALL AXIS ATM NO MORE OLD NOTE
421, we wish to inform you that as a service the bank would be waiving off cash
422, the location is malvani block near the police
423, please read carefully
424, Kindly check if it has been submitted or I have done but I dont know if it has been submitted or
425, location Axis Bank ATM
426, I cant activate Axis Mobile NOT tried from diff networks n phones with regiserd no
427, Dear there AXIS BANK HOME HOME ENDING HOME LOAN SUPER SAVER HOME but not PMAY
428, Again same standard reply without resolution
429, the bank is closed you can get the currency notes
430, no where in circular it is Please let us know if
431, been submitted times in last one
432, Have applied Bank Account opening in Ghatkopar East Branch since Feb still incomplete
433, please provide the transaction details at for us to look into
434, Okay m waiting
435, repeat customer on next day
436, we have made note of the number shared by Axis Bank or its employees
437, i have visited the bitly link provided above submitted the details
438, due to heavy traffic on withdrawals you may find some of our out of
439, how do I cancel or edit my scheduled
440, for us to connect with
441, Thats Did you call
442, standing in the queue since last moved more than ppl
443, i had a salary account earlier with your Bt when i have to migrate u ppl have started deducted charges
444, Why you guys have adequate cash in the Or Cash Van
445, our website is working Please clear your browser cache and try accessing it
446, we apologise for any inconvenience caused to Please write to us at
447, What is happening
448, cust care is helpless I am not getting help after sending mail with screen Very bad for present n banking
449, Thank you Have to the
450, please share the screenshot of error at for us to look into
451, service of your lasudia mori branch worst i ever
452, He cn u send such misleading message ur ATM nt Staff say a fake message
453, ATM withdrawal is But please withdraw the charges after Free
454, thank
455, Attention
456, please check mails from ur bank had debited almost by cheating response from
457, please note that our will be functional from Nov Sorry for the
458, I
459, bank hv their ATM up running helpng ppl bt Axis HDFC shutter
460, please highlight the issue you are facing at for us to assist
461, loved the support of especially he serves the customers very
462, we are sorry that you have faced the inconvenience due to Please note that
463, I already closed the account with you because of your extra charges
464, We have a space for ATM in our Food Court located around corporate any openings kindly revert
465, RT I
466, job less person and I want settle this amount k
467, I have cleared my of account balance but still balance is showing as pending in cibil please solve
468, I am having NRE account with how can I exchange notes I am in Kindly advise
469, App interface is improve its Also when I try to log out this just Please fix the
470, sorry for the inconvenience caused and we want to make this Please share the exact
471, I cnt activate Axis Mobile NOT tried from diff netwrks n phnes with registered
472, I hv recd msg frm axis regrdng saving voucher frm logged n selcted offers bt mail fr it nt recd help
473, horrible in a foreign land trying to make a bank transfer and I get the secure code on my registered number
474, I need someone to respond back
475, And thanks
476, happy to hear We will convey your appreciation to Indu Have a great
477, Unable to reach your customer Can someone please call Its urgent
478, were sorry about the bad experience you had at our We always strive to
479, Thats the I didnt get any reference And the helpline is refusing to give
480, can you give us list which ATM are working in Cursing the day I opened the account with AXIs
481, our Twitter Banking facility is working You can refer the
482, got the card delivered Thanks for the
483, Most of your even Then why send smses of that they
484, There no axis Facing Kindly start the
485, we apologise for any inconvenience caused to Please write to us at
486, its been no update on my App
487, not Please ask someone to call me
488, even more surprising that the given number is not registered with
489, I really appreciate the efforts you are only bank who cares and makes Thank you
490, Despite pleading we had no money for bt manager wasnt letting us in aft Tho u had sent deadline
491, Useless bank closed trouble to customers in
492, Most of your even Then why send smses of that they
493, Axis Atms still not We are facing
494, one month no use but problem Thank you so much
495, thanks for all ur
496, No my problem was not demonetization but U stopped ATM service hour midnight in axis and othr banks
497, Will the deposit machines be functioning
498, wov even private bank do not have money for how common people live hrs no money
499, Please allow us some time we will get back to you
