,Tweet
44, Nanganallur Branch giving separate Que for account holder to change who are waiting are waiting for
45, while applying for CC how many times does a Allows you to pull their
46, At what time your ATMs will All ATMs are still closed or not working in
47, Wow sector Noida says TOKEN OVER service Open banks public suffering
48, thank you for replying quickly
49, ok But what about the same queue for withdrawl and
50, Topbar is not working at all I use Chrome
51, or provide a justification why the name is not updated creating a huge trouble
52, Could you please share your email Id for grievance
53, but one glitch i faced I withdrew From money debited but cash did not came out
54, not a single atm working in our area dakshin puri new do something
55, I have seen it
56, Waiting for the delivery of Credit company has no interest to quick help
57, Why are ICICI ATMs closed in Pune None of them are
58, I am a preferred HNI customer WITH the bank branch but this has lead me at times such if when service matters
59, Your Tilak road Pune branch gave tokens for exchange of Good
60, now I doubt at the authenticity of your proof verification I want to talk to customer care
61, How much time you people will take to resolve the
62, got a call from some ICICI credit card centre called for my reward points to be availed adjusted in bill
63, so not possible for her to commute to bank for depositing the money in Thank You for your
64, How should this incident be taken by I was helpless n felt cornered for a genuine reason I my baby ws hungry
65, Exclent Support by Staff For Exchange Of old notes By Naya bazar gwalior
66, possible for u to find out if shantilal modi rd branch has change right Am broke
67, atms stiil not opened in so prominent location Kindly do provisions immediately
68, thanks for the Will they be open
69, Msg from no number given to were unable to deliver Debit Pin Infinity Please call Customer
70, yet they misspell the now are incapable to change it on the I need to send documents to
71, do you really have to charge the out of station deposit fee during times like these
72, if we ignore small issue then icici doing very very good Well arrangement and system for Thanks
73, thanks
74, hell with Devlali Camp branch executives who are highly arrogant treat
75, mins on customer care this is privilege Your rservices are deteriorating drastically
76, branch denies currency exchange in the name of Own customer withdrawal
77, I am referring to a particular branch and not I
78, the name now at It shows the holder name as only This is causing a lot of Do the
79, ATMs are not working here in All ATM near gittikhadan areas r closed till disappointing Pl do d
80, Monika is the branch manager letting her dear ones exchange cash without line Malcha New Urgent action
81, only conters of deposit and Brach civil lines Relatives of bankers are attended out of
82, so much for customer charges incurred for your fault and then claim it is Expected better
83, All cash depositing machine at in Sangli are always not and the rude people are not ready to
84, Still getting calls for credit cards after lodging an official complaint months Please revise your sales strategy
85, the branch manager of vakola is not able to the queue for exchange of ran out of cash in
86, It solve the U must not make tall Just say Banks r not Let know this
87, today last date to i initiated on at more than hours return my money or i get fined CC pay
88, need your help to open NRE account with happy with your
89, fed up of ur credit card stupidity
90, finally we get a coupon number everything will
91, Bank open at am and will close at
92, Just a one counter accepting cash deposits in Pratap Nagpur I thought you had multiple counters to cope
93, If ATMs were to have money since why there is still no money in any ATM
94, unlike the branch in m block gk they are not entertaining ordinary customers
95, absolute pathetic management at your palava dombivali No care for Only terminal functional
96, A small which is equipped with min askn me nt to print receipt to
97, Thanks But I need that much money
98, I just replied to you
99, Hey u shld HV had different line for aged or unwell been no progress in
100, No of is working in area of till now
101, account holder who turned will automatically get increased interest rates in for senior
102, you can apply take a fix sign and send Costs around Is it that
103, RT Tagging
104, Thanks
105, Will let me know the branches in Hyderabad that stock gift Usually run pillar to post on this branches
106, RT all ATM are working today
107, almost days passed no action yet
108, and stand in a line for hours and get turned back
109, my debit card is getting declined in POS this s d second time issue has cropped up this year even even replaced debit
110, this is the deposit slip along with cheque submitted in your Still after
111, You send a security guard or a policeman on your roadside unguarded
112, my point is how do they have specific data it means that the data is getting leaked from your sid
113, Requestimg all banks to help senior citizens uneducated people
114, Icici bank only exchanged notes of their client
115, branch official have to answer me about time but no one is here to care
116, Are banks open on Monday for normal
117, why there ia mention of time to Here in branch itself closed befor
118, please share when it will be
119, will the ICICI bank pl confirm if I need ID proof to withdraw from my own account
120, I wd like to open NRI trying to reach ICICI But customer care not How can i get
121, No money in ATM not ji
122, were closed even today and braches have high rush due to this
123, Worst Not ready to reply
124, Is it possible to fix an appointment for cash deposit for privilege banking
125, You need to apologize for the Branches are opening and closing at will
126, My relationship manager at ICICI wants a breakup I answering my
127, i have a complaint regarding this
128, ways to report disputed transaction on credit card
129, My frnds prob of atm card blocking is nt getting solved Plzz do solve it urgently
130, i had clearly written that i wont be able to pick up ur calls further you havent addressed issue on
131, if all bank very smart
132, Modinagar branch closed at Very rude behaviour from staff after It needs your immediate attention
133, Dear ICICI bank I am still to receive any response frm u
134, Bnaks forcing ID proof on cheque withdrawls RRM branch managers no ready to solve issue
135, I withdrew in ICICI today non in just Bangalore chamarajpet
136, I get bill amount on SMS but there is no breakup of I filled the form as well in the branch in Noida
137, Hey in Canada and i have cash
138, i just call but they said they cant take any request right now can can you please tell me why
139, just send keep the Am told Andheri branch ATM will not be working ti
140, liberty garden atm not working
141, its give a missed call and say we tried to reach
142, wth if i have everything why will i call you no option of connecting to customer care call me back asap
143, it is resolved Thank
144, when will you get Do I have to wait
145, no atm functioning and been hrs in Possibility of bank running out of
146, not allowing to withdraw money with withdraw They want Vadhi sector branch
147, they r not at least not if u have KYC they just check ur
148, At ICICI Jeevanbheemanagar bangalore quee is not moving at all
149, Can you please tell me if your Hoshangabad branch in MP is demat If who is the contact
150, Can i withdraw More then per day from my current account
151, what instead of solution they wrote same thing in Crap how its going to resolve my SBI loke app
152, Why does it happends during Tatkal timings that too booking from Totally annoying
153, have signed a reinsurance agreement to expand mutual business
154, branches refused payment of credit card because they are Last What to
155, Most likely I will change my salary account to some other very soon I will close my I have made my
156, Why the hell do you send when you give me a credit Chanda
157, New notes will be available at its main branches from November
158, you guys rock thanks so much for helping me Respect
159, RT when will you get Do I have to wait
160, Its been a month and still my credit card application be is the request Pls help
161, hi my registration number is not able to fit inside the I want to know my card status asap
162, my credit card application is still They are trying to deliver it to my work Being shipped back to
163, ur servers are not working at Bangalore please update status
164, does it really matter I am not one of your customers and I already know the response that I will So
165, Please look in the matter of they deduct on why i pay fine for this
166, Very cool headed staff at much appreciate their behaviour especially towards Senior citizens
167, check sms sent to clients
168, we need rupees too
169, when all banks help old whats ur
170, RT and what about rude and absurd behaviour shown by
171, I received a call from asking my credit card
172, At Noida sector bank employees are prohibiting exchange of money and serving existing ICICI customers
173, Thanks for the But these are out of cash since Nov in Faridabad and I could not identify a single cash
174, credit card was issued to me without taking my consent on type of CC nd without my signatures on ny form
175, That same ATM is still
176, Pockets care team is worst you can ever come Use ICICI pockets if u want to lose money forget abt resolution
177, Warje Pune branch is asking peoples to write every notes number on exchange Is this
178, I hav d address which I always receive all documents on d above If u cudnot despatch credit back
179, Please see to videos here
180, plz make a seprate row for ur privilege long q for account
181, Pockets app is not available for Windows Phone It is very important to have it during
182, are standing in line just because is coming Shame on u and other pvt banks
183, your employees understand this Please intervene at the samarth vaibhav branch in mumbai
184, fed up with the customer Feels like I did a big mistake taking the ICICI Rubyx Credit Card
185, No not working in Mukherjee
186, Very frustrating while exchaing the notes in ICICI Even after having an account in Staff being very ude
187, Urgent need of cash for MRI scan bed no hospital you provide
188, Sent Private message lets see this month anything is done or yet another
189, RT pls look into my matter help me to claim my policy
190, The same happened at your lajpat nagar They closed the branch citing cash
191, and what hpnd when bank NO I seen real frustration of ppl
192, Customer service is something giving service without any hassle at the time of critical situations
193, I have applied for ICICI bank credit card on and verification done from your
194, I requested to let me enter I need some money in my wallet as my son is ill
195, But In it was Shutter was down due to link Public full chaos
196, Tried two ATMs same wrong going on with services
197, register card for credit card payment Please
198, the point of running till if no Staff not even letting you
199, Credit try link with my saving account but it executed
200, In digital India why credit card transaction charged even at hospitals
201, best service Smooth and
202, r u for only making breaking ICICI bank is not working
203, RT icici gurgaon sector bm misbehaving saying msg padhte raho no money exchanged no support
204, Pathetic Experience
205, Called and where have NRO said recvd no instructions from RBI
206, sir I m unable to deposit cash on my frm DABRA br To Delhi becuase I id of my uncle urgent
207, The self chq towards which funds were denied was drawn on a Privilege banking avoid this fraud bank
208, how much time does it takes to reflect a cash deposit made in the branch into an icici
209, stop the rhetorics
210, hosur bengaluru branch is not adhering to the rules by RBI by cash For less than
211, it is just resolved now Thanks
212, Your credit card issuance team needs to learn some basic phone etiquette and how to provide
213, I know you guys are overworked but a refund from is Could you please
214, Id like to thank Gautam and the BM at Itanagar Im a tourist from mumbai and was in a Had no cash
215, Great job really commendable Hope media shows how to solve situation rather than create chaos for you all
216, ATM not working in when it may start to
217, inspite of ur announcement to be opened till pm ur branches hv bn closed at pm all ur rules are for common man
218, why no one giving me cash for a cheque at d chandigarh from my account now Hello please help
219, what they say are Not being followed
220, Your branch at City Bokaro closed at PM on instead of PM causing severe Pls take
221, Icici wealth management m greater kailash New Delhi They are saying they have the facility
222, plz confirm if one need to submit photo copy of id proof and carry original ID in case deposit little amount to own account
223, RT Dear and I have received at least sms each from u inviting me to go to ur ATMs but they r
224, Not because your team has been working from the past week and no solution till now
225, Mr Hari swaminath repeatedly sending same mail trying to reply n force in unpleasent position
226, all of a sudden my debit card has stopped working swiping it today and it started giving format error
227, RT Pathetic Experience
228, There must be some problems and that is the reason why i must have applied for the loan i But then my dates have
229, sent
230, can we pay our bill in
231, no ATM at work at or near and Appreciate your
232, official have declared for working till pm in every news channel and media I own saving account in the
233, please looks into it branches r harrasing
234, To make more convenience to customer pls have ur ATMs it has been days ATMs still down not completely functional
235, My personal number has been sent to you via
236, please start atm deposit cash im atm
237, those Standing in Long queues since morning are been told to go Which is
238, HI thanks for the UNless you put something into its difficult to control the rush at hv in ICICI
239, Your staff at r striving hard but hrs to withdraw is
240, Credit card pin Not Even Cant Genret Through no Card
241, Your ATM looks good but it would look better dispensing Ahinsa Khand Indrapuram Ghaziabad ATM nvr worked
242, very very pathetic service at icici hyderabad DM is hell rude
243, Wish to bring to your notice the exemplary work being done by your staff in and Kanakapura road branches
244, Working great guys branch janak Puri
245, What is this Absolute
246, Was in line for notes in The process van be improved by putting more counters
247, kitchlu nagar ludhiana I do understand that there is panic due to situation but two things should not be there
248, Yes are Corporate Frds please
249, i m sharing a different contact Can you please ask them to contact me on that number
250, tea party enjoyed by icici bank staff no time to attend clients says go home
251, they were offering a guy money who had got multiple cheques and he was not even in the On got angry
252, Is there an issue with online transaction in Indian
253, All ATMs of DABRA CITY is crashed population of this city is lac Do needful
254, they saying bank is open today only for hero company employe should we have to visit bank
255, Heard from various Friends Family that ICICI Bank is doing excellent job of handling customers Hats
256, Just visited Noida Sec ATM bank ATM big but peaceful No chaos
257, why are u not giving a privilege to account holders and privilege being given to exchange customers
258, Check Thanks
259, Hi do you accept payment for cash deposit for
260, was in Que since am morning bt was nt able to exchange and slow customer garden branch
261, there is no cash in this world today and your debit card started giving
262, super initiative to us through this currency exchange
263, Thank you for all the I had a hassle transaction hugs to all your employees for the hard work
264, if calibration of ATMs needed for new high val pl get them started with notes tonight
265, Will they accept deposit more than
266,
267, Contact number
268, Durga Vihar Opposite Railway Bhayender This atm was loaded days back Y not my near by
269, for this I m with On this move but execution is very ugly
270, As per d gvt every bank shld provide extra counter for smooth Den y in every branch of urs operating only
271, they r always careless abt customer hv experienced it since the inception of the I hv my acc since then
272, Can I withdraw as well After feeling this screen
273, logged into my inlive assistance call no status on only
274, please give prior notice if u are deposting money for only hero cmpany whre your bank coustmer getting humilated thre
275, lol been like that and have to wait till they refill
276, My hats off to ICICI bank for prompt Great
277, the point of sending AM texts when the branch is closing at Utter
278, can u ask ur below employee why they not receiving call Vaishali Vineeta Pls help
279, Standing in long queue at Sector Staff giving lame excuse of server down
280, Here is the notice if you would like to take a
281, Still awaiting Typical ICICI takes conversation out of public domain in due time but no
282, kankarbagh they change rule daily know how talk to
283, Unable to issue cheque book for my
284, tried going branch but there is lot off rush and hence ask for ATM
285, Huge very slow withdrawl same queue for deposit Whats up
286, see any photos with long queues outside the ATMs as of
287, still no cash on your dont just go around boasting about your Fed
288, much organised effort today Finally able to do transaction
289, With such conduct no one will ever feel safe or confident entrusting investments with you You are unreliable
290, ATM inside TCS Synergy Park Hyderabad is not Kindly take a
291, Thank you for making the money withdrawal process a seamless Kudos to you guys
292, What was the point of asking for details if you did not want to contact
293, you guys r doing a great U r actualy living upto ur tag line khayal team
294, are cash deposit machines working
295, I have a home loan Following up with Ghatkopar team for LOD all Paid Please call me on
296, Unable to gen URN to reg new returns errors could not be Accounts
297, NO CASH FOR WITHDRAW CLOSED TODAY AT EXAMPLE ICICI BANK LUDHIANA
298, Thank you for reminding
299, many are standing
300, Paytm is explains all applies u
301, not a person specific just a instead of OTP for requests from irctc you should have dbcard grid security
302, Can we deposit the case twice in one day at the any branch of
303, non customers may be enjoying ur services but your customers are
304, hours passed but no official contacted
305, ye s today only for hero company why dnt you mention
306, ATM not working at your Kamla Mill branch
307, why atm is not gopalpura branch
308, Have raised request related to failed no action being nor I am to see open request thru net banking
309, u r have my address proof with d address neither sent and trying to
310, Got message from ur that ATM will start functionin from still to travel do
311, better change ur employees behaviour else you loose We know its a tough time r ready to
312, I would like to point out that he helped me exceptionally well and very pleased with the Thank
313, My senior citizen parents are all praise for Icici Sanpada They also provided water to the people in queue
314, your ATM in Neb New Delhi has not opened at all since
315, Get the double save tax and benefit from the growth potential of equities via investing in
316, Can you check
317,
318,
319, Why colony branch is not open accepting deposit Their time is AM PM Why
320, when will your ATMs be open though
321, and please make restaurants and small shops to get to accept cards for small transactions
322, the PAN is mandatory so that txns are tracked and senior citizens fall prey to money
323, Very Hectic procedure of getting Credit Card still you have all documents
324, constantly getting calls for credit abruptly ending the call when I me online link for this
325, What is wrong with you guys I have got more than messages since last Stop spamming
326, Is the smartest and i recoomend it to the world
327, sorry to not He was to connect me with the concerned official and there it
328, Nearest atm for me is Shop New Navrang Cabin Bhaynder
329, wt the hell is going trasection of my Icici card in Icici ATM withdrawal of
330, govt banks they are still working where as this branch closed down working from pm No system
331, The currencies are with me in the What is the solution for
332, regrets not going to return my cash or make sure reaches my credit card by Nov thank you
333, I have tried my time but get any not using india
334, they were very courteous despite the huge rush and issued a cheque book with just my debit Proud to be your customer
335, your ATMs are jot working yet at Navi the Promised date was
336, Once again someone changed mobile number of my credit I think there is no account security at ICICI
337, Charkop branch informs server down since ATM too out of Ppl Pathetic management
338, earlier but I know find this service has I am just thanking you for taking action and improving your
339, this is an advise to all that dont start any deal with they are very bad in customer service and we should boycott it
340, Infosys Chandigarh branch is closing at ATMs are not They said normal business day for them
341, neeladri banglore staff is helping their friends and relatives so that they do not have to stand in a Q
342, RT Where are doing a great govt sector banks are causing too much inconvenience to people
343, I choose ICICI cause customer friendly but you proved me totally wrong SBI Jindaabaad
344, cx r totly the buck to dmat N xfering call from here to Avoid n embrace govt
345, how much money i can withdrawal from bank not from atm from bank
346, some suspicious activity by icici Pisoli pune branch manager saw exchanging buddle with one individual
347, bcoz ATM at kalpataru synergy santa cruz east was not even once was loaded with cash whole day
348, correct your credit time limit Mkng costmrs fool
349, I wish to close my credit How can I do the
350, still no response frm u
351, please let me know what are the timings followed by your Kalina
352, I get regular SMSes from I never even had an account with Afraid of false identity scam
353, how will the customer know the The branch I referred was a next to railway station
354, Is your bank till today Sector SBI workng but ICICI clos
355, y ur online system is nt working when offline is already busy with cash Sort this out or I will close the account
356, Money was out when Opened home mandir piggy
357, i want to sincerely appreciate d effort of Sita Rathnam customer service manager nd thank
358, Yes but no service for new customers on these
359, ATMs were working
360, your Patna zonal office car loan is now on cheating with their valuable I never thought this type of servic
361, Unfortunately in queue do not need cash
362, dahisar WELL ORGANISED and EQUIPPED with cash Other banks shud learn from them
363, In KPHB all are Please fill them with some
364, Yes I
365, please confirm how to change registered number for add on
366, click links both not working at all
367, holidays from
368, guys no updates from your side till now as updated by you
369, when will you open your giragaum branch
370, will the cap on number of ATM withdraws no of transactions per month continue or the same is relaxed considering
371, Can you confirm that I need to show original plus xerox to deposit even a small amount into my own Your ppl insists
372, Roaming since morning find a single ATM And says ATM working since last
373, RT ICICI bank Noida closing at pm even after order till pm
374, Execs stationed out ur Gariahat branch to not let ppl making deposits come At Dis branch normally wrks till
375, Why is the ICICI branch insisting copy of ID proof to exchange That is not
376, Still NO Call back from Ravi Narayayan YET Any Reason Why Ravi Narayayan isnt Calling
377, AM and banks shutter is close and the excuses is their server is down
378, if you dont have the system to deal with the orders why have u opened ICICI direct
379, Amazing work at Dahisar west The staff and manager were so patient and
380, its hill road near mehboob studio ICICI bank ATM bandra west
381, Icici Khetwadi bank closed at Do not care about customers at Only
382, can contact me on
383, i disagree went to eok branch in delhi waited half an hr and returned as no cash in branch
384, Need clarification on your customer friendly measures regarding credit limit Cc peeps not willing to
385, Hell lot of by but no working in
386, RT This clear mailer from very Check it out Longer timings Others will follow http
387, Could you please tell me the bank timings for
388, Employees of were shouting but bother to verify docs to be Time wasted
389, Barakhamba Branch is not exchanging U reported that all branches will remain open till This is
390, If only ATM is filled with cash and rest are not working this is the only thing which will happen
391, Really Poor Service At Ghansoli Counter For Cash Forms Not
392, no ATM is working in Mira road
393, Icici bank declining to entertain after Clients
394, have been debited from account and still get Very disappointed from your
395, the point in asking customers to drop the instrument at branch after uploaded in
396, This clear mailer from very Check it out Longer timings Others will follow
397, seems I have received some torn damaged notes in the Shall I take them to any branch or the same
398, I understand why should I need a debit card to do a
399, to wait for our then what the mean of opeing May I get these quieries
400, I received mail from ur pockets team day nothing have happened dan month passed of applying and debited
401, Opening at and closing by Delhi Kirti Nagar
402, contact number call me now
403, Never thought opening an NRI account with would be such a No khayal at
404, Thank u for reversing my joining fee for credit How abt reversal of interest levied on joining Do waive of
405, also bank not opening of poor he was not having option noPANinForm
406, this is absolutely bizzare still being told signature mismatch looks u want to open current account for
407, D email ws frm ICICI bt bth time I rchd out Cstmr care nd thy hd no are there spam out
408, No cash in Vimannagar No one responding at
409, It should be treated all as common with serial numbers yesterday they did in order
410, its days and i am unable to use credit
411, unable to use my care to Since days having this No one at branch or online is
412, your atm is still
413, RT cares about you more than your folks
414, Badlapur branch handling customer per
415, senior person Khanna not giving proper Instead of helping us he undigested answers
416, and i hvto visit the the staff bluntly denied and said everyone has the
417, RT I blockd my card since I misplace ws askd permanent without sharing tht I hv pay
418, how much time as per govt statement there should not a single paisa deduct below nd u deduct below
419, ATM security guy Gaikwad at BKC was sweet enuf to take my mobile number to call when cash Idea of India
420, Thank you for reversing the
421, I found out they r only giving to wealth mngmt customers in that locality as per the order of the Branch
422, Please stop giving mechanical thee you gave me earlier but no serious action was taken by you
423, your most of ATMS are not working customers are facing problem extra cash counters in your branches
424, I am yet to get a
425,
426, I hope by Monday at least things are better
427, mins past usual start bank is not
428, working fine
429, high call volume at wealth management I Ivr repeatedly said hold for seconds and call was answered in mins
430, ICICI bank have degraded to the For a simple request visited bank times
431, NAZIRA br asking for filling form of Declaration for depositing specified notes Request Slip for exchange high Deno Note
432, you Till not open ATM closed
433, can you please answer this
434, First ensure enough cash at all your atm Most of your centers are closed
435, Im not was
436, ur branch at anandmahal Surat is asking for id proof xerox even for depositing the cash in own account Why again kyc
437, RT But In it was Shutter was down due to link Public
438, i want a clear explanation on email abt the query i sent
439, malad link Rd branch pathetic management n Stop sending your irritating Privilege customer a
440, i am sry inform tht ur branch at Arya Kumar Bihar hs refused accept money thru CAM
441, Hi is there a limit on number of times I can deposit old note in my Can I deposit in or
442, RT I talked Ppls there concerns
443, do I need to give any further documentation for depositing cash into my own
444, opp pratiksha kudos extraordinary care well organized a customer delight
445, very worst support for customers at Phaltan Satara
446, And even if debits are reversed not the Rs as has done this reduces confidence in the product
447, and this is the ATM
448, just received a call from claiming they are calling from card however failed to verify them
449, m going to change my salary account in another one care here time here
450, Why is your systems not Why ATMs are
451, land up clearing huge interest and service charge finally closed that i do same with
452, your officials and branch executives know your app They donno what to do with ref no i gave
453, hi Have written a mail as advised but have not got a status
454, Gurgaon branch what an ill behave Mr respect for quit ICICI
455, you just need maybe restart the I am in line for server
456, calling feature from imobile app of icici is not Refer to screenshot
457, Your Courier company is more interested in arguing than giving Has same complaint with other Improve it
458, As an NRI acct holder can I deposit small amount of INR in a UK branch for credit to my Indian account
459, Average currency exchange time in Kothrud is SBI doing in with same
460, a lot r all ur patience n support today at west Branch
461, please inform branches to have instructions pasted outside bank
462, thanks for the superb service today at Sarthik S G great handling coordination
463, RT Dear please suggest me some pan shops in indore which accept debit cards
464, RT I withdrew in ICICI today non in just Bangalore cha
465, Why stand in line when has this Fill slips using INSTABANKING services in the iMo
466, The branch is not able to work even fr the announced timing am to the ATM is also not working beside the
467, Pathetic management of the crowds at your Balewadi branch in Pune
468, I am not able do the transfer have tried times already Pls fix ASAP
469, I want to know about withdrawal by visiting the from my bank account than
470, need cash for purchase of vegetables and bus iMobile is waste like n notes
471, knowledge of the Is it
472, thanks for ur support a lot for giving more time i also a aploud for this
473, super gesture of arranging for loads of chairs for the waiting At Bavd
474, not a customer of But people in the queue in front of me I got to wait because of
475, pls waive off the NEFT charges
476, Thanks for dispensing only notes in
477, it needs activation link to start the on And as I have read activation link will be sent to regd
478, RT Sat sun banks
479, The bank that I hv a debit balance of in my now in rest n declining swipe of
480, any update on this
481, ICICI Bank not yet opened people in line wht fun CEO Madam says banks will op
482, Latest status of ATMs in New Server down for cardswipe
483, but what is your communication to the Are they dealing with all normal work on or currency exchange
484, money deducted but ticket is not booked
485, Atms are out of Although they have cash in
486, Your payment gateway is not working as two transactions were Fix it And your call support is
487, Then the point of having services as INSTABANKING
488, Other Banks accepted exchange yday ICICI Bank says only Need urgent clarification please
489, STICT ACTION MUST BE TAKEN FRM GOVT AGAINST THIS ICICI BANK THIS SITUATION PLAYING WITH LAWS BANK IS IN BACKFOOT
490, Great customer service Thanks chndra khochar heads off to your will never come again for abuses
491, but usually your response to twitter DM is more than Hope this time u will be quick
492, Your branch at Greater Noida closed gates for customers at PM
493, I also have heard the new series being issued to be trackable via serial deny or confirm
494, I am not able to access from my The snapshot of the same is Please
495, none of the atms working in hope u guys r
496, stop sending irritating claim your ATMs have run out of Guards told no cash loaded in machine at all
497, My debit card last expired on but the new one is not yet received by
498, ATM of ICICI bank in sec in Noida not functioning till date after
499, Cope up with the very much precedents rush for The line extends to the outside of the
